epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,263.626,2.59992,4.17777,0.00994,0.16253,0.08432,0.04099,0.01215,2.40446,3.69718,0.01094,0.00999002,0.00333001,0.00999002,0.00333001,0.00999002,0.00333001,0.00999002,0.00333001
2,477.946,2.42044,3.26632,0.00895,0.21211,0.14874,0.09533,0.0307,2.30919,3.23141,0.01029,0.0197921,0.00659737,0.0197921,0.00659737,0.0197921,0.00659737,0.0197921,0.00659737
3,684.461,2.41309,3.26578,0.00896,0.26314,0.13705,0.09271,0.02896,2.3779,3.18817,0.01096,0.0293962,0.00979874,0.0293962,0.00979874,0.0293962,0.00979874,0.0293962,0.00979874
4,888.312,2.40228,3.25782,0.00892,0.20675,0.17693,0.10334,0.03332,2.2302,3.07581,0.01001,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1092.93,2.37505,3.17577,0.0088,0.21512,0.21352,0.12189,0.03912,2.22943,3.14987,0.00996,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1298,2.34254,3.14196,0.00868,0.23308,0.19462,0.12595,0.0426,2.18228,2.98031,0.00959,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1502.48,2.34568,3.03287,0.00857,0.22422,0.21805,0.12914,0.04311,2.20588,2.96793,0.00972,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1707.39,2.33403,3.01953,0.0086,0.2112,0.24013,0.12486,0.0394,2.21973,2.96228,0.00978,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1911.55,2.31289,2.94879,0.00846,0.23381,0.22269,0.14516,0.05053,2.14831,2.82845,0.00951,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2115.8,2.30121,2.89884,0.00839,0.27384,0.25428,0.17042,0.0567,2.14842,2.73503,0.00932,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
